,product,date,rating,title,reviews,combined,sentiment,sentiment_taste,sentiment_flavor,sentiment_price,sentiment_package,sentiment_value,sentiment_packaging
128,Amazon.com: Customer reviews: Alani Energy Drink,"December 9, 2023",2.0,wrong description,ordered since major sale stated whole case got complain much since still le price favor flavor,wrong description ordered since major sale stated whole case got complain much since still le price favor flavor,0,,-0.4404,-0.4404,,,
129,Amazon.com: Customer reviews: Alani Energy Drink,"November 29, 2023",2.0,busted,love alani package came damaged one open going give gift presentable way get replacement amazon website,busted love alani package came damaged one open going give gift presentable way get replacement amazon website,0,,,,0.7096,,
130,Amazon.com: Customer reviews: Alani Energy Drink,"November 27, 2023",2.0,drink good package inside damaged can busted,since opportunity refund file damage leaving drink damaged flat great,drink good package inside damaged can busted since opportunity refund file damage leaving drink damaged flat great,0,,,,0.2023,,
133,Amazon.com: Customer reviews: Alani Energy Drink,"October 18, 2023",2.0,items bent busted shipping,item arrived bent busted packed carefully tried return item eligible alani nu specifically cherry flavor taste great help give energy without making heart race buy seller due waste damaged can,items bent busted shipping item arrived bent busted packed carefully tried return item eligible alani nu specifically cherry flavor taste great help give energy without making heart race buy seller due waste damaged can,0,0.5719,0.5719,,,,
135,Amazon.com: Customer reviews: Alani Energy Drink,"October 13, 2023",2.0,poorly packaged busted open box,,poorly packaged busted open box ,0,,,,0.0,,
136,Amazon.com: Customer reviews: Alani Energy Drink,"September 16, 2023",2.0,half package purple can,disappointed purchase aware half package would purple can rather even distribution three flavor since blue white better flavor opinion purple huge disappointment nowhere packaging indicate would case feel least written packaging folk misled way otherwise drink great usual wish clear would rather purchase fully blue box receive purple three blue,half package purple can disappointed purchase aware half package would purple can rather even distribution three flavor since blue white better flavor opinion purple huge disappointment nowhere packaging indicate would case feel least written packaging folk misled way otherwise drink great usual wish clear would rather purchase fully blue box receive purple three blue,0,,0.802,,0.802,,
138,Amazon.com: Customer reviews: Alani Energy Drink,"September 7, 2023",2.0,decent taste,ok,decent taste ok,0,0.296,,,,,
142,Amazon.com: Customer reviews: Alani Energy Drink,"August 11, 2023",2.0,cans dented original packaging,pack can severely dented top making difficult opening risk rupturing,cans dented original packaging pack can severely dented top making difficult opening risk rupturing,0,,,,,,
143,Amazon.com: Customer reviews: Alani Energy Drink,"August 3, 2023",2.0,well packed,drink best purchase mistake box opened end inside package every single bubbled explode disappointing,well packed drink best purchase mistake box opened end inside package every single bubbled explode disappointing,0,,,,0.1779,,
146,Amazon.com: Customer reviews: Alani Energy Drink,"July 27, 2023",2.0,love product arrived damaged,love flavor one can damaged completely empty upon delivery damaged box damaged except moisture guessing happened early packaging process unfortunately offer refund damaged product paid got,love product arrived damaged love flavor one can damaged completely empty upon delivery damaged box damaged except moisture guessing happened early packaging process unfortunately offer refund damaged product paid got,0,,-0.8221,,,,
147,Amazon.com: Customer reviews: Alani Energy Drink,"July 26, 2023",2.0,sour,sour really like alani worst flavor,sour sour really like alani worst flavor,0,,-0.3758,,,,
